task,step,goal_distance,success
NeedlePick,0,0.1889410972938718,0.0
NeedlePick,1,0.1888685822695038,0.0
NeedlePick,2,0.18886722152995525,0.0
NeedlePick,3,0.18886722152995525,0.0
NeedlePick,4,0.18886722152995525,0.0
NeedlePick,5,0.18886722152995525,0.0
NeedlePick,6,0.18886722163193315,0.0
NeedlePick,7,0.18886722173391104,0.0
NeedlePick,8,0.18886722183588897,0.0
NeedlePick,9,0.1888672219378669,0.0
NeedlePick,10,0.18886722203984485,0.0
NeedlePick,11,0.18886722203984485,0.0
NeedlePick,12,0.18886722203984485,0.0
NeedlePick,13,0.18886722203984485,0.0
NeedlePick,14,0.18886722203984485,0.0
NeedlePick,15,0.18886722203984485,0.0
NeedlePick,16,0.18886722203984485,0.0
NeedlePick,17,0.18886722203984485,0.0
NeedlePick,18,0.18886722203984485,0.0
NeedlePick,19,0.18886722203984485,0.0
NeedlePick,20,0.18886722203984485,0.0
NeedlePick,21,0.18886722203984485,0.0
NeedlePick,22,0.18886722203984485,0.0
NeedlePick,23,0.18886722203984485,0.0
NeedlePick,24,0.18886722203984485,0.0
NeedlePick,25,0.18886722203984485,0.0
NeedlePick,26,0.18886722203984485,0.0
NeedlePick,27,0.18886722203984485,0.0
NeedlePick,28,0.18886722203984485,0.0
NeedlePick,29,0.18886722203984485,0.0
NeedlePick,30,0.18886722203984485,0.0
NeedlePick,31,0.18886722203984485,0.0
NeedlePick,32,0.18925343752820178,0.0
NeedlePick,33,0.16669811467443757,0.0
NeedlePick,34,0.14270426631359684,0.0
NeedlePick,35,0.11854368224962362,0.0
NeedlePick,36,0.0943960780353047,0.0
NeedlePick,37,0.07027415379782313,0.0
NeedlePick,38,0.046218305242860164,0.0
NeedlePick,39,0.02794419719930736,0.0
NeedlePick,40,0.017181932219615392,1.0
